ID 1 | CLASS S | COST 1000000
ID 2 | CLASS S | COST 25000000
ID 3 | CLASS S | COST 1000000
ID 4 | CLASS C | COST 2000000
ID 5 | CLASS B | COST 1500000
ID 6 | CLASS B | COST 2500000
ID 7 | CLASS S | COST 30000000
ID 8 | CLASS S | COST 
ID 9 | CLASS A | COST 16000000
ID 10 | CLASS A | COST 5000000
ID 11 | CLASS A | COST 16000000
ID 12 | CLASS A | COST 16000000
ID 13 | CLASS S | COST 30000000
ID 14 | CLASS C | COST 1000000
ID 15 | CLASS C | COST 1523440
ID 16 | CLASS C | COST 1500000
ID 17 | CLASS B | COST 2500000
ID 18 | CLASS A | COST 16000000
ID 19 | CLASS B | COST 2500000
ID 20 | CLASS B | COST 2500000
ID 21 | CLASS S | COST 
ID 22 | CLASS B | COST 2500000
ID 23 | CLASS C | COST 1500000
ID 24 | CLASS C | COST 1500000
ID 25 | CLASS B | COST 2500000
ID 26 | CLASS C | COST 1500000
ID 27 | CLASS B | COST 2500000
ID 28 | CLASS B | COST 2500000
ID 29 | CLASS B | COST 2500000
ID 30 | CLASS B | COST 2500000
ID 31 | CLASS S | COST 30000000
ID 32 | CLASS S | COST 30000000
ID 33 | CLASS S | COST 30000000
ID 34 | CLASS S | COST 30000000
ID 35 | CLASS S | COST 30000000
ID 36 | CLASS N | COST 500000
ID 37 | CLASS B | COST 2500000
ID 38 | CLASS A | COST 16000000
ID 39 | CLASS A | COST 16000000
ID 40 | CLASS A | COST 16000000
ID 41 | CLASS S | COST 30000000
ID 42 | CLASS B | COST 2500000
ID 43 | CLASS B | COST 2500000
ID 44 | CLASS C | COST 1500000
ID 45 | CLASS C | COST 1500000
ID 46 | CLASS B | COST 2500000
ID 47 | CLASS C | COST 1500000
ID 48 | CLASS C | COST 1500000
ID 49 | CLASS C | COST 1500000
ID 50 | CLASS B | COST 2500000
ID 51 | CLASS C | COST 1500000
ID 52 | CLASS B | COST 2500000
ID 53 | CLASS C | COST 1500000
ID 54 | CLASS B | COST 2500000
ID 55 | CLASS C | COST 1500000
ID 56 | CLASS B | COST 2500000
ID 57 | CLASS C | COST 1500000
ID 58 | CLASS C | COST 1500000
ID 59 | CLASS C | COST 1500000
ID 60 | CLASS C | COST 1500000
ID 61 | CLASS B | COST 2500000
ID 62 | CLASS B | COST 2500000
ID 63 | CLASS B | COST 2500000
ID 64 | CLASS B | COST 2500000
ID 65 | CLASS D | COST 350000
ID 66 | CLASS D | COST 350000
ID 67 | CLASS C | COST 1500000
ID 68 | CLASS C | COST 1500000
ID 69 | CLASS B | COST 2500000
ID 70 | CLASS B | COST 2500000
ID 71 | CLASS D | COST 350000
ID 72 | CLASS D | COST 350000
ID 73 | CLASS D | COST 350000
ID 74 | CLASS D | COST 350000
ID 75 | CLASS D | COST 350000
ID 76 | CLASS D | COST 500000
ID 77 | CLASS D | COST 350000
ID 78 | CLASS D | COST 350000
ID 79 | CLASS C | COST 1500000
ID 80 | CLASS C | COST 1500000
ID 81 | CLASS C | COST 1500000
ID 82 | CLASS C | COST 1500000
ID 83 | CLASS C | COST 1500000
ID 84 | CLASS C | COST 500000
ID 85 | CLASS B | COST 2500000
ID 86 | CLASS B | COST 2500000
ID 87 | CLASS D | COST 350000
ID 88 | CLASS N | COST 500000
ID 89 | CLASS N | COST 500000
ID 90 | CLASS D | COST 350000
ID 91 | CLASS N | COST 500000
ID 92 | CLASS N | COST 500000
ID 93 | CLASS N | COST 500000
ID 94 | CLASS N | COST 500000
ID 95 | CLASS N | COST 500000
ID 96 | CLASS N | COST 500000
ID 97 | CLASS N | COST 500000
ID 98 | CLASS N | COST 350000
ID 99 | CLASS N | COST 500000
ID 100 | CLASS N | COST 500000
ID 101 | CLASS D | COST 350000
ID 102 | CLASS D | COST 350000
ID 103 | CLASS N | COST 500000
ID 104 | CLASS D | COST 350000
ID 105 | CLASS C | COST 1500000
ID 106 | CLASS D | COST 700000
ID 107 | CLASS D | COST 350000
ID 108 | CLASS D | COST 350000
ID 109 | CLASS D | COST 350000
ID 110 | CLASS N | COST 500000
ID 111 | CLASS N | COST 500000
ID 112 | CLASS C | COST 1500000
ID 113 | CLASS C | COST 500000
ID 114 | CLASS D | COST 350000
ID 115 | CLASS N | COST 500000
ID 116 | CLASS D | COST 350000
ID 117 | CLASS N | COST 500000
ID 118 | CLASS D | COST 350000
ID 119 | CLASS D | COST 790000
ID 120 | CLASS N | COST 500000
ID 121 | CLASS D | COST 350000
ID 122 | CLASS S | COST 30000000
ID 123 | CLASS D | COST 350000
ID 124 | CLASS D | COST 350000
ID 125 | CLASS N | COST 500000
ID 126 | CLASS N | COST 500000
ID 127 | CLASS D | COST 350000
ID 128 | CLASS N | COST 500000
ID 129 | CLASS C | COST 1500000
ID 130 | CLASS N | COST 500000
ID 131 | CLASS N | COST 500000
ID 132 | CLASS N | COST 1500000
ID 133 | CLASS N | COST 500000
ID 134 | CLASS N | COST 500000
ID 135 | CLASS N | COST 500000
ID 136 | CLASS D | COST 350000
ID 137 | CLASS D | COST 350000
ID 138 | CLASS D | COST 350000
ID 139 | CLASS D | COST 350000
ID 140 | CLASS D | COST 350000
ID 141 | CLASS D | COST 350000
ID 142 | CLASS N | COST 500000
ID 143 | CLASS D | COST 500000
ID 144 | CLASS D | COST 350000
ID 145 | CLASS D | COST 350000
ID 146 | CLASS N | COST 500000
ID 147 | CLASS D | COST 350000
ID 148 | CLASS N | COST 500000
ID 149 | CLASS N | COST 500000
ID 150 | CLASS N | COST 500000
ID 151 | CLASS N | COST 500000
ID 152 | CLASS D | COST 350000
ID 153 | CLASS N | COST 500000
ID 154 | CLASS D | COST 350000
ID 155 | CLASS N | COST 150000
ID 156 | CLASS S | COST 
ID 157 | CLASS N | COST 500000
ID 158 | CLASS N | COST 500000
ID 159 | CLASS B | COST 1500000
ID 160 | CLASS B | COST 2500000
ID 161 | CLASS C | COST 1500000
ID 162 | CLASS D | COST 350000
ID 163 | CLASS C | COST 1500000
ID 164 | CLASS C | COST 1500000
ID 165 | CLASS C | COST 1500000
ID 166 | CLASS C | COST 1500000
ID 167 | CLASS C | COST 1500000
ID 168 | CLASS C | COST 1500000
ID 169 | CLASS C | COST 1500000
ID 170 | CLASS C | COST 1500000
ID 171 | CLASS C | COST 1500000
ID 172 | CLASS C | COST 1500000
ID 173 | CLASS D | COST 350000
ID 174 | CLASS D | COST 350000
ID 175 | CLASS D | COST 350000
ID 176 | CLASS B | COST 2500000
ID 177 | CLASS N | COST 500000
ID 178 | CLASS N | COST 500000
ID 179 | CLASS N | COST 500000
ID 180 | CLASS N | COST 500000
ID 181 | CLASS D | COST 350000
ID 182 | CLASS D | COST 350000
ID 183 | CLASS N | COST 500000
ID 184 | CLASS D | COST 350000
ID 185 | CLASS D | COST 350000
ID 186 | CLASS N | COST 500000
ID 187 | CLASS N | COST 500000
ID 188 | CLASS N | COST 500000
ID 189 | CLASS N | COST 500000
ID 190 | CLASS N | COST 500000
ID 191 | CLASS D | COST 350000
ID 192 | CLASS D | COST 350000
ID 193 | CLASS N | COST 500000
ID 194 | CLASS D | COST 350000
ID 195 | CLASS N | COST 500000
ID 196 | CLASS D | COST 350000
ID 197 | CLASS N | COST 500000
ID 198 | CLASS N | COST 500000
ID 199 | CLASS N | COST 500000
ID 200 | CLASS N | COST 500000
ID 201 | CLASS N | COST 500000
ID 202 | CLASS N | COST 500000
ID 203 | CLASS N | COST 500000
ID 204 | CLASS D | COST 350000
ID 205 | CLASS D | COST 350000
ID 206 | CLASS C | COST 1500000
ID 207 | CLASS N | COST 500000
ID 208 | CLASS D | COST 350000
ID 209 | CLASS N | COST 500000
ID 210 | CLASS N | COST 500000
ID 211 | CLASS D | COST 350000
ID 212 | CLASS D | COST 350000
ID 213 | CLASS N | COST 500000
ID 214 | CLASS N | COST 500000
ID 215 | CLASS N | COST 500000
ID 216 | CLASS N | COST 500000
ID 217 | CLASS N | COST 500000
ID 218 | CLASS N | COST 500000
ID 219 | CLASS N | COST 500000
ID 220 | CLASS N | COST 500000
ID 221 | CLASS N | COST 500000
ID 222 | CLASS N | COST 500000
ID 223 | CLASS N | COST 500000
ID 224 | CLASS N | COST 500000
ID 225 | CLASS N | COST 500000
ID 226 | CLASS N | COST 500000
ID 227 | CLASS N | COST 500000
ID 228 | CLASS D | COST 350000
ID 229 | CLASS D | COST 350000
ID 230 | CLASS N | COST 500000
ID 231 | CLASS N | COST 500000
ID 232 | CLASS D | COST 350000
ID 233 | CLASS D | COST 350000
ID 234 | CLASS N | COST 500000
ID 235 | CLASS N | COST 500000
ID 236 | CLASS N | COST 500000
ID 237 | CLASS N | COST 500000
ID 238 | CLASS N | COST 150000
ID 239 | CLASS N | COST 500000
ID 240 | CLASS N | COST 500000
ID 241 | CLASS N | COST 500000
ID 242 | CLASS N | COST 500000
ID 243 | CLASS N | COST 500000
ID 244 | CLASS C | COST 1500000
ID 245 | CLASS N | COST 500000
ID 246 | CLASS N | COST 500000
ID 247 | CLASS N | COST 500000
ID 248 | CLASS D | COST 350000
ID 249 | CLASS D | COST 350000
ID 250 | CLASS N | COST 500000
ID 251 | CLASS C | COST 1500000
ID 252 | CLASS C | COST 1500000
ID 253 | CLASS C | COST 1500000
ID 254 | CLASS D | COST 350000
ID 255 | CLASS N | COST 500000
ID 256 | CLASS N | COST 500000
ID 257 | CLASS N | COST 500000
ID 258 | CLASS D | COST 2500000
ID 259 | CLASS D | COST 500000
ID 260 | CLASS N | COST 500000
ID 261 | CLASS N | COST 500000
ID 262 | CLASS D | COST 350000
ID 263 | CLASS D | COST 350000
ID 264 | CLASS N | COST 500000
ID 265 | CLASS N | COST 500000
ID 266 | CLASS N | COST 500000
ID 267 | CLASS N | COST 1
ID 268 | CLASS N | COST 500000
ID 269 | CLASS N | COST 500000
ID 270 | CLASS N | COST 500000
ID 271 | CLASS N | COST 500000
ID 272 | CLASS N | COST 500000
ID 273 | CLASS N | COST 500000
ID 274 | CLASS N | COST 500000
ID 275 | CLASS D | COST 350000
ID 276 | CLASS D | COST 350000
ID 277 | CLASS D | COST 350000
ID 278 | CLASS N | COST 500000
ID 279 | CLASS N | COST 500000
ID 280 | CLASS D | COST 350000
ID 281 | CLASS D | COST 350000
ID 282 | CLASS C | COST 1500000
ID 283 | CLASS D | COST 350000
ID 284 | CLASS C | COST 1500000
ID 285 | CLASS N | COST 500000
ID 286 | CLASS N | COST 500000
ID 287 | CLASS D | COST 350000
ID 288 | CLASS N | COST 500000
ID 289 | CLASS D | COST 350000
ID 290 | CLASS N | COST 500000
