ID 0 | CLASS D | COST 300 000
ID 1 | CLASS N | COST 120 000
ID 2 | CLASS A | COST 4 100 000
ID 3 | CLASS N | COST 200 000
ID 4 | CLASS N | COST 100 000
ID 5 | CLASS N | COST 150 000
ID 6 | CLASS A | COST 4 600 000
ID 7 | CLASS N | COST 150 000
ID 8 | CLASS B | COST 1 700 000
ID 9 | CLASS N | COST 150 000
ID 10 | CLASS D | COST 250 000
ID 11 | CLASS D | COST 250 000
ID 12 | CLASS A | COST 4 000 000
ID 13 | CLASS A | COST 5 000 000
ID 14 | CLASS C | COST 700 000
ID 15 | CLASS N | COST 100 000
ID 16 | CLASS D | COST 500 000
ID 17 | CLASS N | COST 200 000
ID 18 | CLASS D | COST 480 000
ID 19 | CLASS A | COST 4 600 000
ID 20 | CLASS A | COST 25 000 000
ID 21 | CLASS C | COST 1 000 000
ID 22 | CLASS C | COST 950 000
ID 23 | CLASS S | COST 25 000 000
ID 24 | CLASS B | COST 2 000 000
ID 25 | CLASS A | COST 4 000 000
ID 26 | CLASS B | COST 2 000 000
ID 27 | CLASS C | COST 1 000 000
ID 28 | CLASS B | COST 2 100 000
ID 29 | CLASS B | COST 2 100 000
ID 30 | CLASS B | COST 1 700 000
ID 31 | CLASS B | COST 1 500 000
ID 32 | CLASS C | COST 600 000
ID 33 | CLASS C | COST 850 000
ID 34 | CLASS C | COST 1 000 000
ID 35 | CLASS C | COST 1 000 000
ID 36 | CLASS C | COST 1 500 000
ID 37 | CLASS A | COST 15 000 000
ID 38 | CLASS B | COST 2 000 000
ID 39 | CLASS S | COST 15 000 000
ID 40 | CLASS A | COST 15 000 000
ID 41 | CLASS A | COST 17 000 000
ID 42 | CLASS A | COST 20 000 000
ID 43 | CLASS A | COST 10 000 000
ID 44 | CLASS A | COST 6 000 000
ID 45 | CLASS B | COST 3 000 000
ID 46 | CLASS A | COST 3 400 000
ID 47 | CLASS C | COST 1 300 000
ID 48 | CLASS C | COST 900 000
ID 49 | CLASS S | COST 25 000 000
ID 50 | CLASS A | COST 4 600 000
ID 51 | CLASS A | COST 4 700 000
ID 52 | CLASS A | COST 4 100 000
ID 53 | CLASS B | COST 2 000 000
ID 54 | CLASS S | COST 25 000 000
ID 55 | CLASS S | COST 20 000 000
ID 56 | CLASS S | COST 20 000 000
ID 57 | CLASS A | COST 25 000 000
ID 58 | CLASS S | COST 25 000 000
ID 59 | CLASS B | COST 1 600 000
ID 60 | CLASS B | COST 1 600 000
ID 61 | CLASS B | COST 3 000 000
ID 62 | CLASS B | COST 3 500 000
ID 63 | CLASS S | COST 25 000 000
ID 64 | CLASS D | COST 400 000
ID 65 | CLASS N | COST 130 000
ID 66 | CLASS N | COST 100 000
ID 67 | CLASS N | COST 100 000
ID 68 | CLASS N | COST 100 000
ID 69 | CLASS N | COST 140 000
ID 70 | CLASS N | COST 140 000
ID 71 | CLASS N | COST 100 000
ID 72 | CLASS N | COST 120 000
ID 73 | CLASS N | COST 150 000
ID 74 | CLASS N | COST 100 000
ID 75 | CLASS N | COST 150 000
ID 76 | CLASS D | COST 370 000
ID 77 | CLASS N | COST 100 000
ID 78 | CLASS N | COST 200 000
ID 79 | CLASS N | COST 100 000
ID 80 | CLASS N | COST 180 000
ID 81 | CLASS N | COST 100 000
ID 82 | CLASS D | COST 400 000
ID 83 | CLASS N | COST 150 000
ID 84 | CLASS N | COST 130 000
ID 85 | CLASS N | COST 100 000
ID 86 | CLASS N | COST 150 000
ID 87 | CLASS N | COST 100 000
ID 88 | CLASS N | COST 170 000
ID 89 | CLASS N | COST 130 000
ID 90 | CLASS N | COST 130 000
ID 91 | CLASS D | COST 300 000
ID 92 | CLASS D | COST 300 000
ID 93 | CLASS D | COST 300 000
ID 94 | CLASS N | COST 100 000
ID 95 | CLASS N | COST 150 000
ID 96 | CLASS N | COST 200 000
ID 97 | CLASS N | COST 140 000
ID 98 | CLASS N | COST 150 000
ID 99 | CLASS D | COST 320 000
ID 100 | CLASS N | COST 120 000
